Sno,Stack_Type,Process_Status,N_Min_Max_Type,Measurement_Method,Height
134,B,As_Stamped,Min,Vernier_Caliper,54.15
135,B,As_Stamped,Min,Vernier_Caliper,54.21
136,B,As_Stamped,Min,Vernier_Caliper,54.22
137,B,As_Stamped,Min,Vernier_Caliper,54.1
138,B,As_Stamped,Min,Vernier_Caliper,54.22
139,B,As_Stamped,Min,Vernier_Caliper,54.12
140,B,As_Stamped,Min,Vernier_Caliper,54.18
141,B,As_Stamped,Min,Vernier_Caliper,54.44
142,B,As_Stamped,Min,Vernier_Caliper,54.06
143,B,As_Stamped,Min,Vernier_Caliper,54.52
144,B,As_Stamped,Min,Vernier_Caliper,54.28
145,B,As_Stamped,Min,Vernier_Caliper,54.02
146,B,As_Stamped,Min,Vernier_Caliper,54.13
147,B,As_Stamped,Min,Vernier_Caliper,54.28
148,B,As_Stamped,Min,Vernier_Caliper,54.18
149,B,As_Stamped,Min,Vernier_Caliper,54.16
150,B,As_Stamped,Min,Vernier_Caliper,54.23
151,B,As_Stamped,Max,Vernier_Caliper,54.41
152,B,As_Stamped,Max,Vernier_Caliper,54.61
153,B,As_Stamped,Max,Vernier_Caliper,54.59
154,B,As_Stamped,Max,Vernier_Caliper,54.84
155,B,As_Stamped,Max,Vernier_Caliper,54.29
156,B,As_Stamped,Max,Vernier_Caliper,54.36
157,B,As_Stamped,Max,Vernier_Caliper,54.29
158,B,As_Stamped,Max,Vernier_Caliper,54.32
159,B,As_Stamped,Max,Vernier_Caliper,54.55
160,B,As_Stamped,Max,Vernier_Caliper,54.37
161,B,As_Stamped,Max,Vernier_Caliper,54.61
162,B,As_Stamped,Max,Vernier_Caliper,54.35
163,B,As_Stamped,Max,Vernier_Caliper,54.69
164,B,As_Stamped,Max,Vernier_Caliper,54.43
165,B,As_Stamped,Max,Vernier_Caliper,54.4
166,B,As_Stamped,Max,Vernier_Caliper,54.71
167,B,As_Stamped,Max,Vernier_Caliper,54.21
168,B,As_Stamped,Max,Vernier_Caliper,54.76
169,B,As_Stamped,Max,Vernier_Caliper,54.44
170,B,As_Stamped,Max,Vernier_Caliper,54.27
171,B,As_Stamped,Max,Vernier_Caliper,54.46
172,B,As_Stamped,Max,Vernier_Caliper,54.53
173,B,As_Stamped,Max,Vernier_Caliper,54.41
174,B,As_Stamped,Max,Vernier_Caliper,54.4
175,B,As_Stamped,Max,Vernier_Caliper,54.47
176,B,After_Rehit,Min,Vernier_Caliper,50.34
177,B,After_Rehit,Min,Vernier_Caliper,50.61
178,B,After_Rehit,Min,Vernier_Caliper,50.59
179,B,After_Rehit,Min,Vernier_Caliper,50.72
180,B,After_Rehit,Min,Vernier_Caliper,50.36
181,B,After_Rehit,Min,Vernier_Caliper,50.32
182,B,After_Rehit,Min,Vernier_Caliper,50.34
183,B,After_Rehit,Min,Vernier_Caliper,50.39
184,B,After_Rehit,Min,Vernier_Caliper,50.7
185,B,After_Rehit,Min,Vernier_Caliper,50.33
186,B,After_Rehit,Min,Vernier_Caliper,50.59
187,B,After_Rehit,Min,Vernier_Caliper,50.61
188,B,After_Rehit,Min,Vernier_Caliper,50.39
189,B,After_Rehit,Min,Vernier_Caliper,50.35
190,B,After_Rehit,Min,Vernier_Caliper,50.71
191,B,After_Rehit,Min,Vernier_Caliper,50.67
192,B,After_Rehit,Min,Vernier_Caliper,50.35
193,B,After_Rehit,Min,Vernier_Caliper,50.66
194,B,After_Rehit,Min,Vernier_Caliper,50.24
195,B,After_Rehit,Min,Vernier_Caliper,50.22
196,B,After_Rehit,Min,Vernier_Caliper,50.31
197,B,After_Rehit,Min,Vernier_Caliper,50.34
198,B,After_Rehit,Min,Vernier_Caliper,50.32
199,B,After_Rehit,Min,Vernier_Caliper,50.23
200,B,After_Rehit,Min,Vernier_Caliper,50.25
201,B,After_Rehit,Max,Vernier_Caliper,50.57
202,B,After_Rehit,Max,Vernier_Caliper,50.76
203,B,After_Rehit,Max,Vernier_Caliper,50.69
204,B,After_Rehit,Max,Vernier_Caliper,50.88
205,B,After_Rehit,Max,Vernier_Caliper,50.53
206,B,After_Rehit,Max,Vernier_Caliper,50.49
207,B,After_Rehit,Max,Vernier_Caliper,50.5
208,B,After_Rehit,Max,Vernier_Caliper,50.56
209,B,After_Rehit,Max,Vernier_Caliper,50.86
210,B,After_Rehit,Max,Vernier_Caliper,50.54
211,B,After_Rehit,Max,Vernier_Caliper,50.81
212,B,After_Rehit,Max,Vernier_Caliper,50.8
213,B,After_Rehit,Max,Vernier_Caliper,50.56
214,B,After_Rehit,Max,Vernier_Caliper,50.62
215,B,After_Rehit,Max,Vernier_Caliper,50.92
216,B,After_Rehit,Max,Vernier_Caliper,50.87
217,B,After_Rehit,Max,Vernier_Caliper,50.56
218,B,After_Rehit,Max,Vernier_Caliper,50.82
219,B,After_Rehit,Max,Vernier_Caliper,50.43
220,B,After_Rehit,Max,Vernier_Caliper,50.43
221,B,After_Rehit,Max,Vernier_Caliper,50.5
222,B,After_Rehit,Max,Vernier_Caliper,50.49
223,B,After_Rehit,Max,Vernier_Caliper,50.48
224,B,After_Rehit,Max,Vernier_Caliper,50.38
225,B,After_Rehit,Max,Vernier_Caliper,50.39
226,B,During_Rehit,Normal,Digital_Sensor,49.79
227,B,During_Rehit,Normal,Digital_Sensor,50.13
228,B,During_Rehit,Normal,Digital_Sensor,50.11
229,B,During_Rehit,Normal,Digital_Sensor,50.19
230,B,During_Rehit,Normal,Digital_Sensor,49.82
231,B,During_Rehit,Normal,Digital_Sensor,49.84
232,B,During_Rehit,Normal,Digital_Sensor,49.81
233,B,During_Rehit,Normal,Digital_Sensor,49.83
234,B,During_Rehit,Normal,Digital_Sensor,50.19
235,B,During_Rehit,Normal,Digital_Sensor,49.85
236,B,During_Rehit,Normal,Digital_Sensor,50.16
237,B,During_Rehit,Normal,Digital_Sensor,50.15
238,B,During_Rehit,Normal,Digital_Sensor,49.84
239,B,During_Rehit,Normal,Digital_Sensor,49.81
240,B,During_Rehit,Normal,Digital_Sensor,50.18
241,B,During_Rehit,Normal,Digital_Sensor,50.21
242,B,During_Rehit,Normal,Digital_Sensor,49.82
243,B,During_Rehit,Normal,Digital_Sensor,50.21
244,B,During_Rehit,Normal,Digital_Sensor,49.77
245,B,During_Rehit,Normal,Digital_Sensor,49.73
246,B,During_Rehit,Normal,Digital_Sensor,49.79
247,B,During_Rehit,Normal,Digital_Sensor,49.83
248,B,During_Rehit,Normal,Digital_Sensor,49.81
249,B,During_Rehit,Normal,Digital_Sensor,49.72
250,B,During_Rehit,Normal,Digital_Sensor,49.82
251,A,After_Rivetting,Normal,Vernier_Caliper,50.59
252,A,After_Rivetting,Normal,Vernier_Caliper,50.41
253,A,After_Rivetting,Normal,Vernier_Caliper,50.42
254,A,After_Rivetting,Normal,Vernier_Caliper,50.29
255,A,After_Rivetting,Normal,Vernier_Caliper,50.32
256,A,After_Rivetting,Normal,Vernier_Caliper,50.18
257,A,After_Rivetting,Normal,Vernier_Caliper,50.42
258,A,After_Rivetting,Normal,Vernier_Caliper,50.34
259,A,After_Rivetting,Normal,Vernier_Caliper,50.51
260,A,After_Rivetting,Normal,Vernier_Caliper,50.71
261,A,After_Rivetting,Normal,Vernier_Caliper,50.26
262,A,After_Rivetting,Normal,Vernier_Caliper,50.25
263,A,After_Rivetting,Normal,Vernier_Caliper,50.27
264,A,After_Rivetting,Normal,Vernier_Caliper,50.15
265,A,After_Rivetting,Normal,Vernier_Caliper,50.27
266,A,After_Rivetting,Normal,Vernier_Caliper,50.25
267,A,After_Rivetting,Normal,Vernier_Caliper,50.18
268,A,After_Rivetting,Normal,Vernier_Caliper,50.16
269,A,After_Rivetting,Normal,Vernier_Caliper,50.33
270,A,After_Rivetting,Normal,Vernier_Caliper,50.25
271,A,After_Rivetting,Normal,Vernier_Caliper,50.31
272,A,After_Rivetting,Normal,Vernier_Caliper,50.28
273,A,After_Rivetting,Normal,Vernier_Caliper,50.19
274,A,After_Rivetting,Normal,Vernier_Caliper,50.45
275,A,After_Rivetting,Normal,Vernier_Caliper,50.27
276,B,After_Rivetting,Normal,Vernier_Caliper,50.12
277,B,After_Rivetting,Normal,Vernier_Caliper,50.51
278,B,After_Rivetting,Normal,Vernier_Caliper,50.56
279,B,After_Rivetting,Normal,Vernier_Caliper,50.58
280,B,After_Rivetting,Normal,Vernier_Caliper,50.29
281,B,After_Rivetting,Normal,Vernier_Caliper,50.29
282,B,After_Rivetting,Normal,Vernier_Caliper,50.19
283,B,After_Rivetting,Normal,Vernier_Caliper,50.26
284,B,After_Rivetting,Normal,Vernier_Caliper,50.19
285,B,After_Rivetting,Normal,Vernier_Caliper,50.2
286,B,After_Rivetting,Normal,Vernier_Caliper,50.42
287,B,After_Rivetting,Normal,Vernier_Caliper,50.46
288,B,After_Rivetting,Normal,Vernier_Caliper,50.22
289,B,After_Rivetting,Normal,Vernier_Caliper,50.08
290,B,After_Rivetting,Normal,Vernier_Caliper,50.6
291,B,After_Rivetting,Normal,Vernier_Caliper,50.61
292,B,After_Rivetting,Normal,Vernier_Caliper,50.24
293,B,After_Rivetting,Normal,Vernier_Caliper,50.64
294,B,After_Rivetting,Normal,Vernier_Caliper,50.19
295,B,After_Rivetting,Normal,Vernier_Caliper,50.01
296,B,After_Rivetting,Normal,Vernier_Caliper,50.19
297,B,After_Rivetting,Normal,Vernier_Caliper,50.14
298,B,After_Rivetting,Normal,Vernier_Caliper,50.17
299,B,After_Rivetting,Normal,Vernier_Caliper,50.18
300,B,After_Rivetting,Normal,Vernier_Caliper,50.22
301,AB,After_Rivetting,Min,Vernier_Caliper,100.58
302,AB,After_Rivetting,Min,Vernier_Caliper,100.74
303,AB,After_Rivetting,Min,Vernier_Caliper,100.88
304,AB,After_Rivetting,Min,Vernier_Caliper,100.72
305,AB,After_Rivetting,Min,Vernier_Caliper,100.42
306,AB,After_Rivetting,Min,Vernier_Caliper,100.49
